"ScramblingAverageDistancetoHole_RANKTHISWEEK_2007","ScramblingAverageDistancetoHole_RANKLASTWEEK_2007","ScramblingAverageDistancetoHole_PLAYERNAME_2007","ScramblingAverageDistancetoHole_ROUNDS_2007","ScramblingAverageDistancetoHole_AVGDTP_2007","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2007","ScramblingAverageDistancetoHole_ATTEMPTS_2007","stat_name","year"
18,18,"Mark Wilson",87,NA,2977.333,392,"ScramblingAverageDistancetoHole",2007
24,24,"Jason Bohn",57,NA,2187.917,285,"ScramblingAverageDistancetoHole",2007
24,24,"Jonathan Byrd",73,NA,2616,341,"ScramblingAverageDistancetoHole",2007
24,24,"Brian Davis",101,NA,3764.667,491,"ScramblingAverageDistancetoHole",2007
24,24,"Steve Elkington",87,NA,3208.417,418,"ScramblingAverageDistancetoHole",2007
24,24,"Craig Kanada",109,NA,4050.75,526,"ScramblingAverageDistancetoHole",2007
24,24,"Steve Marino",106,NA,3687.083,480,"ScramblingAverageDistancetoHole",2007
24,24,"Corey Pavin",81,NA,3413.5,447,"ScramblingAverageDistancetoHole",2007
24,24,"Tom Pernice Jr",104,NA,3826.333,501,"ScramblingAverageDistancetoHole",2007
24,24,"Charlie Wi",90,NA,3274.167,425,"ScramblingAverageDistancetoHole",2007
33,33,"Marco Dawson",73,NA,2812.667,363,"ScramblingAverageDistancetoHole",2007
33,33,"Ian Poulter",63,NA,1851.083,239,"ScramblingAverageDistancetoHole",2007
35,35,"Steve Flesch",100,NA,3672.917,469,"ScramblingAverageDistancetoHole",2007
35,35,"Trevor Immelman",74,NA,2176.667,277,"ScramblingAverageDistancetoHole",2007
35,35,"Anthony Kim",93,NA,3290.667,420,"ScramblingAverageDistancetoHole",2007
35,35,"Scott Verplank",82,NA,2557,327,"ScramblingAverageDistancetoHole",2007
39,39,"KJ Choi",87,NA,2955.833,373,"ScramblingAverageDistancetoHole",2007
39,39,"Tim Clark",66,NA,2405.667,304,"ScramblingAverageDistancetoHole",2007
39,39,"Billy Mayfair",98,NA,3122.333,396,"ScramblingAverageDistancetoHole",2007
39,39,"Carl Pettersson",111,NA,4026.583,507,"ScramblingAverageDistancetoHole",2007
39,39,"Bo Van Pelt",104,NA,4121.333,520,"ScramblingAverageDistancetoHole",2007
44,44,"John Mallinger",96,NA,4197,525,"ScramblingAverageDistancetoHole",2007
44,44,"Paul Stankowski",52,NA,1919.667,239,"ScramblingAverageDistancetoHole",2007
44,44,"Kirk Triplett",77,NA,2954.583,371,"ScramblingAverageDistancetoHole",2007
44,44,"Tiger Woods",63,NA,1475,185,"ScramblingAverageDistancetoHole",2007
48,48,"Woody Austin",95,NA,3741.417,461,"ScramblingAverageDistancetoHole",2007
48,48,"Briny Baird",115,NA,4246.75,524,"ScramblingAverageDistancetoHole",2007
