"BirdieorBetterConversionPercentage_RANKTHISWEEK_2009","BirdieorBetterConversionPercentage_RANKLASTWEEK_2009","BirdieorBetterConversionPercentage_PLAYERNAME_2009","BirdieorBetterConversionPercentage_ROUNDS_2009","BirdieorBetterConversionPercentage_Pct_2009","BirdieorBetterConversionPercentage_BIRDIES_2009","BirdieorBetterConversionPercentage_GREENSHIT_2009","stat_name","year"
170,170,"Kent Jones",73,25.88,198,765,"BirdieorBetterConversionPercentage",2009
171,171,"Mark Brooks",55,25.56,138,540,"BirdieorBetterConversionPercentage",2009
172,172,"Stuart Appleby",79,25.51,226,886,"BirdieorBetterConversionPercentage",2009
172,172,"JJ Henry",97,25.51,290,1137,"BirdieorBetterConversionPercentage",2009
174,174,"Casey Wittenberg",71,25.26,193,764,"BirdieorBetterConversionPercentage",2009
175,175,"Billy Mayfair",83,25.08,248,989,"BirdieorBetterConversionPercentage",2009
176,176,"Ricky Barnes",67,24.9,180,723,"BirdieorBetterConversionPercentage",2009
177,177,"Glen Day",79,24.82,211,850,"BirdieorBetterConversionPercentage",2009
178,178,"Robert Allenby",71,24.8,212,855,"BirdieorBetterConversionPercentage",2009
179,179,"Brendon Todd",53,24.73,139,562,"BirdieorBetterConversionPercentage",2009
180,180,"Marc Turnesa",77,24.63,215,873,"BirdieorBetterConversionPercentage",2009
181,181,"Jay Williamson",69,24.48,189,772,"BirdieorBetterConversionPercentage",2009
182,182,"Greg Kraft",51,23.58,125,530,"BirdieorBetterConversionPercentage",2009
183,183,"Jarrod Lyle",65,23.54,157,667,"BirdieorBetterConversionPercentage",2009
184,184,"Tom Lehman",55,21.36,135,632,"BirdieorBetterConversionPercentage",2009
