"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2011","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2011","FirstTeeEarlyPar5ScoringAverage_AVG_2011","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2011","stat_name","year"
26,26,"Josh Teater",104,4.57,498,109,"FirstTeeEarlyPar5ScoringAverage",2011
26,26,"Boo Weekley",66,4.57,375,82,"FirstTeeEarlyPar5ScoringAverage",2011
28,28,"DJ Brigman",67,4.58,293,64,"FirstTeeEarlyPar5ScoringAverage",2011
28,28,"Kevin Na",84,4.58,449,98,"FirstTeeEarlyPar5ScoringAverage",2011
28,28,"Charl Schwartzel",58,4.58,325,71,"FirstTeeEarlyPar5ScoringAverage",2011
28,28,"Bo Van Pelt",92,4.58,458,100,"FirstTeeEarlyPar5ScoringAverage",2011
32,32,"Kevin Chappell",78,4.59,257,56,"FirstTeeEarlyPar5ScoringAverage",2011
32,32,"Luke Donald",73,4.59,124,27,"FirstTeeEarlyPar5ScoringAverage",2011
32,32,"Brandt Jobe",100,4.59,542,118,"FirstTeeEarlyPar5ScoringAverage",2011
32,32,"Bio Kim",71,4.59,363,79,"FirstTeeEarlyPar5ScoringAverage",2011
32,32,"Heath Slocum",89,4.59,413,90,"FirstTeeEarlyPar5ScoringAverage",2011
37,37,"Matt Bettencourt",84,4.6,419,91,"FirstTeeEarlyPar5ScoringAverage",2011
37,37,"Charley Hoffman",93,4.6,580,126,"FirstTeeEarlyPar5ScoringAverage",2011
37,37,"Marc Leishman",87,4.6,511,111,"FirstTeeEarlyPar5ScoringAverage",2011
37,37,"Brendan Steele",89,4.6,377,82,"FirstTeeEarlyPar5ScoringAverage",2011
41,41,"Harrison Frazar",58,4.61,286,62,"FirstTeeEarlyPar5ScoringAverage",2011
41,41,"David Hearn",88,4.61,332,72,"FirstTeeEarlyPar5ScoringAverage",2011
41,41,"Anthony Kim",72,4.61,332,72,"FirstTeeEarlyPar5ScoringAverage",2011
41,41,"Derek Lamely",65,4.61,332,72,"FirstTeeEarlyPar5ScoringAverage",2011
41,41,"Graeme McDowell",50,4.61,212,46,"FirstTeeEarlyPar5ScoringAverage",2011
41,41,"Nick OHern",89,4.61,304,66,"FirstTeeEarlyPar5ScoringAverage",2011
41,41,"Cameron Tringale",110,4.61,406,88,"FirstTeeEarlyPar5ScoringAverage",2011
48,48,"Blake Adams",116,4.62,661,143,"FirstTeeEarlyPar5ScoringAverage",2011
