"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2016","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2016","ofPotentialPtswonFedExCupRegularSeason_Pct_2016","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2016","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2016","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2016","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2016","stat_name","year"
52,45,"Luke Donald",13,8.17,519,6350,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
53,52,"Zach Johnson",12,8.11,454,5600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
54,53,"Marc Leishman",12,7.87,445,5650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
55,55,"Harris English",15,7.7,547,7100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
56,59,"Brendan Steele",14,7.58,530,7000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
57,58,"Daniel Berger",15,7.56,540,7150,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
58,57,"Freddie Jacobson",16,7.42,564,7600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
59,61,"Chris Kirk",15,7.23,513,7100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
60,54,"Kevin Streelman",15,7.18,488,6800,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
61,62,"Ryan Palmer",12,7.17,430,6000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
62,56,"Jason Kokrak",17,7.05,586,8300,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
63,51,"Jamie Donaldson",8,7.03,253,3600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
64,63,"Jhonattan Vegas",14,6.8,449,6600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
65,64,"Alex Cejka",15,6.79,495,7300,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
66,60,"David Toms",11,6.58,336,5100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
67,68,"Gary Woodland",12,6.55,396,6050,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
68,65,"Graham DeLaet",14,6.35,419,6600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
69,92,"Andrew Loupe",16,6.18,482,7800,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2016
