"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2005","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2005","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2005","stat_name","year"
185,185,"Jose Coceres",56,49.7,49511.7,99616,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
186,186,"Mark Wilson",74,49.66,61944.8,124739,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
187,187,"Jim Carter",62,49.63,48400.4,97517,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
188,188,"Len Mattiace",86,49.58,71045.2,143294,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
189,189,"Olin Browne",99,49.52,77023.8,155554,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
190,190,"Brad Faxon",75,49.5,50295,101608,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
191,191,"Skip Kendall",80,49.47,66904,135249,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
191,191,"Chris Riley",67,49.47,37923.6,76662,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
193,193,"Brian Gay",101,49.45,83762.6,169405,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
194,194,"Mark OMeara",66,49.35,51221.4,103796,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
195,195,"Tom Byrum",83,49.17,65655.2,133526,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
196,196,"John Cook",72,48.92,51587.9,105449,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
197,197,"Loren Roberts",54,48.68,40117.7,82405,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
198,198,"Mark Brooks",72,48.57,57703.7,118794,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
199,199,"Fred Funk",102,48.31,68103.3,140980,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
200,200,"Gavin Coles",70,48.12,57075.4,118617,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
201,201,"Jeff Hart",63,47.62,51117,107337,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
202,202,"Corey Pavin",77,47.34,51274.5,108302,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
