"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2005","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2005","AverageGoingforitShotDistanceinYards_PLAYERNAME_2005","AverageGoingforitShotDistanceinYards_EVENTS_2005","AverageGoingforitShotDistanceinYards_AVG_2005","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2005","AverageGoingforitShotDistanceinYards_ATTEMPTS_2005","stat_name","year"
62,62,"Kent Jones",32,253.6,1314407,144,"AverageGoingforitShotDistanceinYards",2005
63,63,"John Rollins",30,253.7,1780704,195,"AverageGoingforitShotDistanceinYards",2005
63,63,"Rory Sabbatini",26,253.7,1032044,113,"AverageGoingforitShotDistanceinYards",2005
63,63,"Jeff Sluman",28,253.7,1223674,134,"AverageGoingforitShotDistanceinYards",2005
66,66,"Carlos Franco",25,253.8,1452718,159,"AverageGoingforitShotDistanceinYards",2005
66,66,"Jerry Kelly",31,253.8,1233394,135,"AverageGoingforitShotDistanceinYards",2005
68,68,"Robert Gamez",28,254.3,1217436,133,"AverageGoingforitShotDistanceinYards",2005
69,69,"Jim Furyk",26,254.5,1007999,110,"AverageGoingforitShotDistanceinYards",2005
69,69,"Freddie Jacobson",23,254.5,833792,91,"AverageGoingforitShotDistanceinYards",2005
69,69,"Zach Johnson",30,254.5,1419864,155,"AverageGoingforitShotDistanceinYards",2005
69,69,"Billy Mayfair",31,254.5,2006085,219,"AverageGoingforitShotDistanceinYards",2005
69,69,"Kevin Sutherland",26,254.5,1310273,143,"AverageGoingforitShotDistanceinYards",2005
74,74,"David Hearn",24,254.6,1163904,127,"AverageGoingforitShotDistanceinYards",2005
74,74,"Lee Westwood",15,254.6,687526,75,"AverageGoingforitShotDistanceinYards",2005
76,76,"Pat Perez",28,254.7,1421452,155,"AverageGoingforitShotDistanceinYards",2005
77,77,"Scott Gutschewski",27,254.8,1779624,194,"AverageGoingforitShotDistanceinYards",2005
77,77,"Franklin Langham",31,254.8,935733,102,"AverageGoingforitShotDistanceinYards",2005
77,77,"Stephen Leaney",29,254.8,935743,102,"AverageGoingforitShotDistanceinYards",2005
77,77,"Greg Owen",24,254.8,1513672,165,"AverageGoingforitShotDistanceinYards",2005
77,77,"Duffy Waldorf",28,254.8,1183267,129,"AverageGoingforitShotDistanceinYards",2005
