"LeftRoughTendencyRTPScore_RANKTHISWEEK_2009","LeftRoughTendencyRTPScore_RANKLASTWEEK_2009","LeftRoughTendencyRTPScore_PLAYERNAME_2009","LeftRoughTendencyRTPScore_ROUNDS_2009","LeftRoughTendencyRTPScore_RTPSCORE_2009","stat_name","year"
143,143,"Steve Elkington",70,0.153,"LeftRoughTendencyRTPScore",2009
145,145,"DA Points",99,0.156,"LeftRoughTendencyRTPScore",2009
146,146,"Matt Bettencourt",98,0.158,"LeftRoughTendencyRTPScore",2009
147,147,"Cliff Kresge",78,0.16,"LeftRoughTendencyRTPScore",2009
148,148,"Michael Letzig",96,0.161,"LeftRoughTendencyRTPScore",2009
149,149,"Harrison Frazar",93,0.162,"LeftRoughTendencyRTPScore",2009
149,149,"Nick OHern",90,0.162,"LeftRoughTendencyRTPScore",2009
151,151,"Bryce Molder",69,0.164,"LeftRoughTendencyRTPScore",2009
151,151,"Ian Poulter",59,0.164,"LeftRoughTendencyRTPScore",2009
151,151,"Chez Reavie",81,0.164,"LeftRoughTendencyRTPScore",2009
154,154,"Kevin Sutherland",96,0.167,"LeftRoughTendencyRTPScore",2009
155,155,"Eric Axley",71,0.17,"LeftRoughTendencyRTPScore",2009
155,155,"Mark Wilson",99,0.17,"LeftRoughTendencyRTPScore",2009
157,157,"Billy Mayfair",83,0.171,"LeftRoughTendencyRTPScore",2009
158,158,"Ryan Palmer",78,0.175,"LeftRoughTendencyRTPScore",2009
159,159,"Lee Janzen",74,0.183,"LeftRoughTendencyRTPScore",2009
160,160,"Charles Warren",63,0.184,"LeftRoughTendencyRTPScore",2009
161,161,"David Duval",56,0.19,"LeftRoughTendencyRTPScore",2009
161,161,"Pat Perez",74,0.19,"LeftRoughTendencyRTPScore",2009
163,163,"Brendon Todd",53,0.195,"LeftRoughTendencyRTPScore",2009
163,163,"Jay Williamson",69,0.195,"LeftRoughTendencyRTPScore",2009
165,165,"Ricky Barnes",67,0.198,"LeftRoughTendencyRTPScore",2009
166,166,"Tim Clark",81,0.2,"LeftRoughTendencyRTPScore",2009
166,166,"Tom Lehman",55,0.2,"LeftRoughTendencyRTPScore",2009
168,168,"Todd Hamilton",83,0.204,"LeftRoughTendencyRTPScore",2009
169,169,"Dean Wilson",81,0.207,"LeftRoughTendencyRTPScore",2009
170,170,"Marc Turnesa",77,0.208,"LeftRoughTendencyRTPScore",2009
171,171,"Gary Woodland",53,0.213,"LeftRoughTendencyRTPScore",2009
172,172,"Will Ma Kenzie",69,0.214,"LeftRoughTendencyRTPScore",2009
173,173,"Greg Kraft",51,0.226,"LeftRoughTendencyRTPScore",2009
173,173,"Darron Stiles",52,0.226,"LeftRoughTendencyRTPScore",2009
175,175,"Heath Slocum",95,0.235,"LeftRoughTendencyRTPScore",2009
176,176,"Bob Estes",78,0.237,"LeftRoughTendencyRTPScore",2009
177,177,"Paul Goydos",79,0.241,"LeftRoughTendencyRTPScore",2009
178,178,"Peter Lonard",86,0.246,"LeftRoughTendencyRTPScore",2009
178,178,"Jeff Maggert",79,0.246,"LeftRoughTendencyRTPScore",2009
180,180,"Brad Faxon",59,0.258,"LeftRoughTendencyRTPScore",2009
181,181,"Colt Knost",71,0.26,"LeftRoughTendencyRTPScore",2009
182,182,"Rick Price",54,0.268,"LeftRoughTendencyRTPScore",2009
183,183,"Bart Bryant",58,0.319,"LeftRoughTendencyRTPScore",2009
184,184,"Jeff Quinney",78,0.325,"LeftRoughTendencyRTPScore",2009
