"FedExCupStandings_RANKTHISWEEK_2015","FedExCupStandings_RANKLASTWEEK_2015","FedExCupStandings_PLAYERNAME_2015","FedExCupStandings_EVENTS_2015","FedExCupStandings_POINTS_2015","FedExCupStandings_OFWINS_2015","FedExCupStandings_OFTOP10S_2015","FedExCupStandings_POINTSBEHINDLEAD_2015","FedExCupStandings_RESETPOINTS_2015","stat_name","year"
140,140,"Brice Garnett",29,398,NA,1,6572,NA,"FedExCupStandings",2015
141,141,"Whee Kim",23,393,NA,2,6577,NA,"FedExCupStandings",2015
142,142,"Tom Gillis",16,391,NA,1,6579,NA,"FedExCupStandings",2015
143,143,"Brian Davis",31,387,NA,2,6583,NA,"FedExCupStandings",2015
144,144,"David Toms",21,383,NA,2,6587,NA,"FedExCupStandings",2015
145,145,"Blayne Barber",26,380,NA,4,6590,NA,"FedExCupStandings",2015
146,146,"Michael Thompson",27,378,NA,1,6592,NA,"FedExCupStandings",2015
147,147,"Lucas Glover",26,375,NA,NA,6595,NA,"FedExCupStandings",2015
148,148,"Luke Guthrie",27,373,NA,1,6597,NA,"FedExCupStandings",2015
149,149,"Charlie Beljan",27,369,NA,1,6601,NA,"FedExCupStandings",2015
150,150,"Cameron Percy",23,361,NA,1,6609,NA,"FedExCupStandings",2015
151,151,"Vaughn Taylor",12,361,NA,2,6609,NA,"FedExCupStandings",2015
152,152,"KJ Choi",19,358,NA,NA,6612,NA,"FedExCupStandings",2015
153,153,"Jhonattan Vegas",27,353,NA,NA,6617,NA,"FedExCupStandings",2015
154,154,"Geoff Ogilvy",15,350,NA,1,6620,NA,"FedExCupStandings",2015
155,155,"Ricky Barnes",27,347,NA,1,6623,NA,"FedExCupStandings",2015
156,156,"Martin Flores",30,345,NA,NA,6625,NA,"FedExCupStandings",2015
157,157,"Aaron Baddeley",25,336,NA,1,6634,NA,"FedExCupStandings",2015
158,158,"Jonathan Byrd",22,335,NA,NA,6635,NA,"FedExCupStandings",2015
159,159,"Bo Van Pelt",28,322,NA,2,6648,NA,"FedExCupStandings",2015
160,160,"Graeme McDowell",15,320,NA,1,6650,NA,"FedExCupStandings",2015
161,161,"Andres Romero",24,312,NA,2,6658,NA,"FedExCupStandings",2015
162,162,"John Merrick",27,311,NA,NA,6659,NA,"FedExCupStandings",2015
163,163,"Max Homa",27,278,NA,1,6692,NA,"FedExCupStandings",2015
164,164,"Mark Hubbard",25,274,NA,NA,6696,NA,"FedExCupStandings",2015
165,165,"Gonzalo Fdez Castano",28,272,NA,NA,6698,NA,"FedExCupStandings",2015
